# timestamp tx ty tz qx qy qz qw
1403715274302142976 0.878612 2.14247 0.947262 -0.828459 -0.058956 -0.553641 0.060514
1403715274307142912 0.878658 2.142398 0.947252 -0.828433 -0.059051 -0.553664 0.060571
1403715274312143104 0.878703 2.142317 0.947242 -0.828405 -0.0591 -0.553697 0.0606
1403715274317143040 0.878746 2.142225 0.94723 -0.828395 -0.059095 -0.553715 0.060577
1403715274322142976 0.878787 2.142125 0.947213 -0.82841 -0.059057 -0.553704 0.060511
1403715274327142912 0.878826 2.142021 0.947195 -0.82843 -0.058994 -0.55369 0.06043
1403715274332143104 0.878862 2.141919 0.947181 -0.828434 -0.058938 -0.553697 0.060351
1403715274337143040 0.878896 2.141825 0.947171 -0.828421 -0.05891 -0.553727 0.060292
1403715274342142976 0.878927 2.141743 0.947165 -0.828396 -0.05891 -0.553766 0.060273
1403715274347142912 0.878958 2.141674 0.947159 -0.828368 -0.05893 -0.553802 0.060311
1403715274352143104 0.878989 2.141612 0.947148 -0.828353 -0.058963 -0.553813 0.060386
1403715274357143040 0.879017 2.141551 0.947135 -0.828353 -0.058997 -0.553801 0.060456
1403715274362142976 0.879045 2.141483 0.947123 -0.828362 -0.059011 -0.553783 0.060489
1403715274367142912 0.879072 2.141405 0.947114 -0.828371 -0.058994 -0.553775 0.060457
1403715274372143104 0.879098 2.141317 0.94711 -0.828367 -0.058934 -0.553796 0.060382
1403715274377142784 0.879124 2.141231 0.947108 -0.82836 -0.058872 -0.553822 0.060298
1403715274382142976 0.879149 2.14116 0.947102 -0.828361 -0.058847 -0.553826 0.060273
1403715274387142912 0.879174 2.141115 0.947091 -0.82837 -0.0589 -0.553799 0.060334
1403715274392143104 0.8792 2.141091 0.947077 -0.828391 -0.059029 -0.55374 0.06046
1403715274397142784 0.879225 2.14107 0.947065 -0.828408 -0.05917 -0.553686 0.060594
1403715274402142976 0.879256 2.141018 0.947055 -0.828415 -0.059247 -0.55366 0.060657
1403715274407143168 0.879283 2.140944 0.947052 -0.828421 -0.059202 -0.553661 0.060604
1403715274412143104 0.879311 2.140846 0.947051 -0.828429 -0.059037 -0.553685 0.060441
1403715274417143040 0.879338 2.140748 0.947049 -0.828442 -0.05883 -0.553709 0.060255
1403715274422142976 0.879364 2.140675 0.947041 -0.828461 -0.058689 -0.553704 0.060167
1403715274427143168 0.879386 2.14064 0.94703 -0.82848 -0.058682 -0.55367 0.060217
1403715274432142848 0.879405 2.140638 0.947021 -0.828487 -0.058797 -0.553633 0.060365
1403715274437143040 0.87942 2.140648 0.947019 -0.828468 -0.05897 -0.553623 0.060533
1403715274442142976 0.879433 2.140649 0.947023 -0.82843 -0.059112 -0.553651 0.060661
1403715274447143168 0.879446 2.140628 0.947028 -0.828399 -0.059168 -0.553685 0.060713
1403715274452142848 0.879472 2.140568 0.947022 -0.828388 -0.059116 -0.553711 0.060687
1403715274457143040 0.87949 2.1405 0.947019 -0.828391 -0.058997 -0.553731 0.060583
